Id, I(x), I(y), I(z), P(x), P(y), P(z), L(x), L(y), L(z), V1, V2, V3
24,0,2,4,5.0,25.0,45.0,10.0,10.0,10.0,2.7,0.0,0.0,
25,0,2,5,5.0,25.0,55.0,10.0,10.0,10.0,2.7,0.0,0.0,
26,0,2,6,5.0,25.0,65.0,10.0,10.0,10.0,2.7,0.0,0.0,
27,0,2,7,5.0,25.0,75.0,10.0,10.0,10.0,2.7,0.0,0.0,
28,0,2,8,5.0,25.0,85.0,10.0,10.0,10.0,2.7,0.0,0.0,
29,0,2,9,5.0,25.0,95.0,10.0,10.0,10.0,2.7,0.0,0.0,
30,0,3,0,5.0,35.0,5.0,10.0,10.0,10.0,2.7,0.0,0.0,
31,0,3,1,5.0,35.0,15.0,10.0,10.0,10.0,2.7,0.0,0.0,
32,0,3,2,5.0,35.0,25.0,10.0,10.0,10.0,2.7,0.0,0.0,
33,0,3,3,5.0,35.0,35.0,10.0,10.0,10.0,2.7,0.0,0.0,
34,0,3,4,5.0,35.0,45.0,10.0,10.0,10.0,2.7,0.0,0.0,
35,0,3,5,5.0,35.0,55.0,10.0,10.0,10.0,2.7,0.0,0.0,
36,0,3,6,5.0,35.0,65.0,10.0,10.0,10.0,2.7,0.0,0.0,
37,0,3,7,5.0,35.0,75.0,10.0,10.0,10.0,2.7,0.0,0.0,
38,0,3,8,5.0,35.0,85.0,10.0,10.0,10.0,2.7,0.0,0.0,
39,0,3,9,5.0,35.0,95.0,10.0,10.0,10.0,2.7,0.0,0.0,
40,0,4,0,5.0,45.0,5.0,10.0,10.0,10.0,2.7,0.0,0.0,
41,0,4,1,5.0,45.0,15.0,10.0,10.0,10.0,2.7,0.0,0.0,
42,0,4,2,5.0,45.0,25.0,10.0,10.0,10.0,2.7,0.0,0.0,
43,0,4,3,5.0,45.0,35.0,10.0,10.0,10.0,2.7,0.0,0.0,
44,0,4,4,5.0,45.0,45.0,10.0,10.0,10.0,2.7,0.0,0.0,
45,0,4,5,5.0,45.0,55.0,10.0,10.0,10.0,2.7,0.0,0.0,
46,0,4,6,5.0,45.0,65.0,10.0,10.0,10.0,2.7,0.0,0.0,
47,0,4,7,5.0,45.0,75.0,10.0,10.0,10.0,2.7,0.0,0.0,
48,0,4,8,5.0,45.0,85.0,10.0,10.0,10.0,2.7,0.0,0.0,
49,0,4,9,5.0,45.0,95.0,10.0,10.0,10.0,2.7,0.0,0.0,
50,0,5,0,5.0,55.0,5.0,10.0,10.0,10.0,2.7,0.0,0.0,
51,0,5,1,5.0,55.0,15.0,10.0,10.0,10.0,2.7,0.0,0.0,
52,0,5,2,5.0,55.0,25.0,10.0,10.0,10.0,2.7,0.0,0.0,
53,0,5,3,5.0,55.0,35.0,10.0,10.0,10.0,2.7,0.0,0.0,
54,0,5,4,5.0,55.0,45.0,10.0,10.0,10.0,2.7,0.0,0.0,
55,0,5,5,5.0,55.0,55.0,10.0,10.0,10.0,2.7,0.0,0.0,
56,0,5,6,5.0,55.0,65.0,10.0,10.0,10.0,2.7,0.0,0.0,
57,0,5,7,5.0,55.0,75.0,10.0,10.0,10.0,2.7,0.0,0.0,
58,0,5,8,5.0,55.0,85.0,10.0,10.0,10.0,2.7,0.0,0.0,
59,0,5,9,5.0,55.0,95.0,10.0,10.0,10.0,2.7,0.0,0.0,
60,0,6,0,5.0,65.0,5.0,10.0,10.0,10.0,2.7,0.0,0.0,
61,0,6,1,5.0,65.0,15.0,10.0,10.0,10.0,2.7,0.0,0.0,
62,0,6,2,5.0,65.0,25.0,10.0,10.0,10.0,2.7,0.0,0.0,
63,0,6,3,5.0,65.0,35.0,10.0,10.0,10.0,2.7,0.0,0.0,
64,0,6,4,5.0,65.0,45.0,10.0,10.0,10.0,2.7,0.0,0.0,
65,0,6,5,5.0,65.0,55.0,10.0,10.0,10.0,2.7,0.0,0.0,
66,0,6,6,5.0,65.0,65.0,10.0,10.0,10.0,2.7,0.0,0.0,
67,0,6,7,5.0,65.0,75.0,10.0,10.0,10.0,2.7,0.0,0.0,
68,0,6,8,5.0,65.0,85.0,10.0,10.0,10.0,2.7,0.0,0.0,
69,0,6,9,5.0,65.0,95.0,10.0,10.0,10.0,2.7,0.0,0.0,
